Existing_Plant_Name,NPV,oris_ID
McGrath Generating Station,239985163.7,56471
Feather River Energy Center,252767421.6,55847
Center Generating Station,258412680.8,56475
Chula Vista Energy Center,258716158.4,55540
Anaheim Combustion Turbine,262266594.7,7693
NCPA Combustion Turbine Project #2,262560685.2,7449
Algonquin Power Sanger,262895003.2,57564
Barre Generating Station,263486452.9,56474
Mira Loma Generating Station,263809175.7,56473
"Delano Energy Center, LLC",265329730.8,58122
Kingsburg Cogen Facility,265892697.5,10405
"Escondido Energy Center, LLC",266709079.8,55538
Goal Line,266709145.4,54749
CalPeak Power - Enterprise,266709240.3,55513
El Cajon Energy Center,267038430.1,57001
Cuyamaca Peak Energy,267038447.6,55512
"Fresno Cogeneration Partners, LP",268009494.5,10156
Wolfskill Energy Center,268157630.3,55855
CalPeak Power - Border,268485465.5,55510
Carson Cogeneration Company,270273008.5,10169
CalPeak Power - Panoche,270743266.8,55508
Agua Mansa Power,271158397.3,55951
Grapeland Generating Station,271321639.5,56472
Bear Mountain Limited,271380846.9,10649
CalPeak Power - Vaca Dixon,271511702.6,55499
Grayson Power Plant,272299284.7,377
Lake,272994965.2,7987
McKittrick Limited,273125502.1,50612
Riverview Energy Center,273391085.1,55963
Goose Haven Energy Center,273862716.4,55627
Lambie Energy Center,273862727.4,55626
Creed Energy Center,273877724.2,55625
Badger Creek Limited,281590331.1,10650
Live Oak Limited,281590369.7,54768
